,Library,Start_Date,End_Date,Start_Date_Y,End_Date_Y
1,Hattusa ,1900 B.C. , 1190 B.C.,-1900,- 1190 
2,Royal Library of Antioch ,221 B.C. , 363 A.D.,-221, 363 
3,Library of Pergamum ,197 B.C. , 159 B.C.,-197,- 159 
4,Library of Celsus ,135 A.D. , 262 A.D.,135, 262 
5,The Imperial Library of Constantinople  ,337 A.D.,361 A.D. ,337,361  
9,Temple of Edfu Archive/Library ,237 B.C.,57 B.C.,-237,-57 
11,The Library of Aristotle ,384 B.C.,321 B.C.,-384,-321 
15,Takshasila ,6th  B.C.,5 B.C.,-6,-5 
23,The House of Wisdom ,9 A.D.,13 A.D.,9,13 
28,Ebla ,2500 B.C. , 2250 B.C.,-2500,- 2250 
